,Unnamed: 0,Score,Action,predicted,correct_prediction
280,322,2.67,operator,operator,True
281,323,15.25,operator,operator,True
282,324,0.0,operator,operator,True
283,325,34.31,reask,reask,True
284,326,81.46,correct,correct,True
285,327,15.07,operator,operator,True
286,328,13.97,operator,operator,True
287,330,27.81,operator,operator,True
288,331,32.66,reask,reask,True
289,332,23.83,reask,operator,False
290,333,67.0,operator,reask,False
291,334,8.78,operator,operator,True
292,335,50.79,operator,reask,False
293,336,62.72,reask,reask,True
294,337,22.7,reask,operator,False
295,338,11.37,operator,reask,False
296,340,17.89,operator,operator,True
297,341,20.99,reask,operator,False
298,342,33.59,reask,reask,True
299,343,79.0,correct,correct,True
300,344,48.61,reask,reask,True
301,345,49.19,reask,reask,True
302,346,21.15,reask,operator,False
303,347,42.71,reask,reask,True
304,348,100.0,operator,correct,False
305,349,25.87,operator,operator,True
306,350,14.85,operator,operator,True
307,351,54.8,operator,reask,False
308,352,0.0,operator,operator,True
309,353,100.0,operator,correct,False
310,354,25.87,operator,operator,True
311,355,25.87,operator,operator,True
312,356,80.84,operator,operator,True
313,357,25.87,operator,operator,True
314,358,25.87,operator,operator,True
315,359,25.87,operator,operator,True
316,360,14.39,operator,operator,True
317,361,25.87,operator,operator,True
318,362,44.09,operator,reask,False
319,363,25.87,operator,operator,True
320,364,14.39,operator,operator,True
321,365,0.0,operator,operator,True
322,366,27.02,operator,operator,True
323,367,77.05,operator,reask,False
324,368,25.87,operator,operator,True
325,369,41.37,operator,reask,False
326,370,80.84,operator,operator,True
327,371,77.02,correct,reask,False
328,372,10.97,operator,operator,True
329,373,11.08,operator,operator,True
330,374,47.82,reask,reask,True
331,375,6.21,reask,operator,False
332,376,30.52,reask,reask,True
333,377,38.19,operator,reask,False
334,378,82.95,operator,correct,False
335,379,42.21,operator,reask,False
336,380,45.98,reask,reask,True
337,381,62.73,reask,reask,True
338,382,9.13,operator,operator,True
339,383,72.53,operator,reask,False
340,384,28.57,operator,reask,False
341,385,26.85,operator,operator,True
342,386,77.08,correct,reask,False
343,387,0.0,operator,operator,True
344,388,14.62,operator,operator,True
345,389,33.59,reask,reask,True
346,390,78.98,correct,correct,True
347,391,50.08,reask,reask,True
348,392,50.08,reask,reask,True
349,393,25.41,operator,operator,True
350,394,42.9,operator,reask,False
351,395,32.29,operator,reask,False
352,396,100.0,reask,correct,False
353,397,33.12,reask,reask,True
354,398,15.58,operator,operator,True
355,399,20.56,operator,operator,True
356,400,15.79,reask,operator,False
357,401,15.79,reask,operator,False
358,402,90.0,correct,correct,True
359,403,25.87,operator,operator,True
360,404,17.89,operator,operator,True
361,405,99.0,correct,correct,True
362,406,37.35,reask,reask,True
363,407,21.3,reask,operator,False
364,408,12.93,reask,operator,False
365,409,30.21,operator,reask,False
366,410,49.33,reask,reask,True
